MS DRG,Thomas MS DRG DESC2, Average of TOTAL CHARGES2 
003,ECMO OR TRACH W MV>96 HRS OR PDX EXC FACE - MOUTH NECK W MAJ O.R.," $418,205.42 "
004,TRACH W MV > 96 HRS EXC FACE - MOUTH NECK W/O MAJ O.R.," $181,672.90 "
011,TRACHEOSTOMY FOR FACE-MOUTH  NECK DIAGNOSES W MCC," $23,641.13 "
027,CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC," $31,639.20 "
029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS," $23,269.78 "
034,CAROTID ARTERY STENT PROCEDURE W MCC," $39,835.10 "
035,CAROTID ARTERY STENT PROCEDURE W CC," $34,426.37 "
036,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC," $30,301.04 "
037,EXTRACRANIAL PROCEDURES W MCC," $64,278.23 "
038,EXTRACRANIAL PROCEDURES W CC," $25,033.03 "
039,EXTRACRANIAL PROCEDURES W/O CC/MCC," $12,492.17 "
040,PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W MCC," $41,802.43 "
041,PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM," $39,928.45 "
042,PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W/O CC/MCC," $35,297.89 "
052,SPINAL DISORDERS  INJURIES W CC/MCC," $19,327.64 "
054,NERVOUS SYSTEM NEOPLASMS W MCC," $13,795.42 "
055,NERVOUS SYSTEM NEOPLASMS W/O MCC," $17,656.93 "
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC," $22,549.74 "
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC," $27,396.70 "
058,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W MCC," $43,062.48 "
059,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W CC," $9,317.99 "
060,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W/O CC/MCC," $14,045.01 "
061,ISCHEMIC STROKE- PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC," $45,744.97 "
062,ISCHEMIC STROKE- PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC," $38,597.78 "
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC," $22,633.92 "
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS," $17,471.28 "
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC," $17,016.02 "
067,NONSPECIFIC CVA  PRECEREBRAL OCCLUSION W/O INFARCT W MCC," $23,565.48 "
068,NONSPECIFIC CVA  PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC," $12,102.36 "
069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC," $14,273.48 "
070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC," $20,185.57 "
071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC," $16,330.97 "
072,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC," $11,876.63 "
074,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC," $15,478.66 "
075,VIRAL MENINGITIS W CC/MCC," $29,468.49 "
076,VIRAL MENINGITIS W/O CC/MCC," $14,602.87 "
077,HYPERTENSIVE ENCEPHALOPATHY W MCC," $17,194.43 "
078,HYPERTENSIVE ENCEPHALOPATHY W CC," $20,660.14 "
081,NONTRAUMATIC STUPOR  COMA W/O MCC," $14,665.09 "
082,TRAUMATIC STUPOR  COMA- COMA >1 HR W MCC," $7,582.10 "
083,TRAUMATIC STUPOR  COMA- COMA >1 HR W CC," $16,179.47 "
084,TRAUMATIC STUPOR  COMA- COMA >1 HR W/O CC/MCC," $12,711.51 "
087,TRAUMATIC STUPOR  COMA- COMA <1 HR W/O CC/MCC," $21,475.32 "
089,CONCUSSION W CC," $12,799.18 "
091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC," $26,476.32 "
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC," $23,248.75 "
093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC," $11,547.67 "
094,BACTERIAL  TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC," $79,608.25 "
095,BACTERIAL  TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC," $49,518.50 "
098,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC," $15,074.28 "
099,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC," $26,130.28 "
100,SEIZURES W MCC," $25,999.59 "
101,SEIZURES W/O MCC," $12,140.03 "
102,HEADACHES W MCC," $10,267.05 "
103,HEADACHES W/O MCC," $12,204.85 "
125,OTHER DISORDERS OF THE EYE W/O MCC," $9,659.23 "
133,OTHER EAR- NOSE- MOUTH  THROAT O.R. PROCEDURES W CC/MCC," $17,153.45 "
134,OTHER EAR- NOSE- MOUTH  THROAT O.R. PROCEDURES W/O CC/MCC," $10,236.78 "
137,MOUTH PROCEDURES W CC/MCC," $7,606.70 "
138,MOUTH PROCEDURES W/O CC/MCC," $7,563.84 "
149,DYSEQUILIBRIUM," $11,748.63 "
152,OTITIS MEDIA  URI W MCC," $23,046.80 "
153,OTITIS MEDIA  URI W/O MCC," $8,648.16 "
155,OTHER EAR- NOSE- MOUTH  THROAT DIAGNOSES W CC," $15,181.80 "
156,OTHER EAR- NOSE- MOUTH  THROAT DIAGNOSES W/O CC/MCC," $10,787.49 "
157,DENTAL  ORAL DISEASES W MCC," $24,425.35 "
158,DENTAL  ORAL DISEASES W CC," $10,977.62 "
159,DENTAL  ORAL DISEASES W/O CC/MCC," $8,103.55 "
163,MAJOR CHEST PROCEDURES W MCC," $87,351.33 "
164,MAJOR CHEST PROCEDURES W CC," $46,658.51 "
165,MAJOR CHEST PROCEDURES W/O CC/MCC," $39,910.07 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC," $47,738.77 "
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC," $28,990.13 "
175,PULMONARY EMBOLISM W MCC," $23,484.16 "
176,PULMONARY EMBOLISM W/O MCC," $13,663.81 "
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC," $31,988.19 "
178,RESPIRATORY INFECTIONS  INFLAMMATIONS W CC," $23,553.77 "
179,RESPIRATORY INFECTIONS  INFLAMMATIONS W/O CC/MCC," $12,703.39 "
180,RESPIRATORY NEOPLASMS W MCC," $19,118.44 "
181,RESPIRATORY NEOPLASMS W CC," $17,512.98 "
184,MAJOR CHEST TRAUMA W CC," $14,802.46 "
185,MAJOR CHEST TRAUMA W/O CC/MCC," $17,108.70 "
186,PLEURAL EFFUSION W MCC," $24,416.97 "
187,PLEURAL EFFUSION W CC," $17,979.64 "
188,PLEURAL EFFUSION W/O CC/MCC," $9,922.73 "
189,PULMONARY EDEMA  RESPIRATORY FAILURE," $20,944.73 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC," $19,301.18 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC," $16,423.91 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC," $12,332.21 "
193,SIMPLE PNEUMONIA  PLEURISY W MCC," $23,361.95 "
194,SIMPLE PNEUMONIA  PLEURISY W CC," $16,502.18 "
195,SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC," $9,303.78 "
196,INTERSTITIAL LUNG DISEASE W MCC," $17,885.58 "
197,INTERSTITIAL LUNG DISEASE W CC," $16,916.47 "
199,PNEUMOTHORAX W MCC," $27,909.61 "
200,PNEUMOTHORAX W CC," $16,570.11 "
201,PNEUMOTHORAX W/O CC/MCC," $10,887.48 "
202,BRONCHITIS  ASTHMA W CC/MCC," $17,284.72 "
203,BRONCHITIS  ASTHMA W/O CC/MCC," $12,606.37 "
204,RESPIRATORY SIGNS  SYMPTOMS," $16,024.69 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC," $26,181.19 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC," $12,473.39 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS ," $91,155.92 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS," $48,949.56 "
215,OTHER HEART ASSIST SYSTEM IMPLANT," $154,640.98 "
216,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC," $135,934.25 "
217,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC," $92,673.93 "
