HSP,CHARGE CODE,BILLING DESCRIPTION,HOSPITAL CHARGE,,,,,,,,,,,,,,,,,,,
TWI,0020100020,SEMI-PRIVATE,"$5,776.00",,,,,,,,,,,,,,,,,,,
TWI,0020100228,ICU GEN,"$13,134.00",,,,,,,,,,,,,,,,,,,
TWI,0020100624,ICU INTERMED,"$7,932.00",,,,,,,,,,,,,,,,,,,
TWI,0021200027,SEMI-PRIVATE,"$5,776.00",,,,,,,,,,,,,,,,,,,
TWI,0021200225,ICU GEN,"$13,134.00",,,,,,,,,,,,,,,,,,,
TWI,0021200621,ICU INTERMED,"$7,932.00",,,,,,,,,,,,,,,,,,,
TWI,0021500020,SEMI-PRIVATE,"$5,776.00",,,,,,,,,,,,,,,,,,,
TWI,0021500228,ICU GEN,"$13,134.00",,,,,,,,,,,,,,,,,,,
TWI,0021500624,ICU INTERMED,"$7,932.00",,,,,,,,,,,,,,,,,,,
TWI,0023000011,PRIVATE,"$5,828.00",,,,,,,,,,,,,,,,,,,
TWI,0023000029,SEMI-PRIVATE,"$5,776.00",,,,,,,,,,,,,,,,,,,
TWI,0023000490,SEMI-PRIV PEDS,"$5,758.00",,,,,,,,,,,,,,,,,,,
TWI,0023000615,ISOLATN STERILE,"$6,059.00",,,,,,,,,,,,,,,,,,,
TWI,0023000623,ICU INTERMED,"$7,932.00",,,,,,,,,,,,,,,,,,,
TWI,0023100027,SEMI-PRIVATE,"$5,776.00",,,,,,,,,,,,,,,,,,,
TWI,0025000027,SEMI-PRIVATE,"$5,776.00",,,,,,,,,,,,,,,,,,,
TWI,0025000431,PRIV O B,"$5,828.00",,,,,,,,,,,,,,,,,,,
TWI,0025000449,SEMI-PRIV O B,"$5,758.00",,,,,,,,,,,,,,,,,,,
TWI,0025500109,NEWBORN LVL I,"$3,635.00",,,,,,,,,,,,,,,,,,,
TWI,0025500117,NEWBORN OTHER,"$4,195.00",,,,,,,,,,,,,,,,,,,
TWI,0025500497,SEMI-PRIV PEDS,"$5,758.00",,,,,,,,,,,,,,,,,,,
TWI,0031000086,FLU VACC ADMIN,$115.46,,,,,,,,,,,,,,,,,,,
TWI,0031000284,PNEUM VACC ADM,$115.46,,,,,,,,,,,,,,,,,,,
TWI,0031001761,NON-STRESS TEST,"$1,172.57",,,,,,,,,,,,,,,,,,,
TWI,0031004716,ADM SNGL VACC,$109.56,,,,,,,,,,,,,,,,,,,
TWI,0031004724,ADM EA ADD VACC,$114.28,,,,,,,,,,,,,,,,,,,
TWI,0031005002,US OB LTD 1OR>,"$1,290.59",,,,,,,,,,,,,,,,,,,
TWI,0031007602,IV HYD INT>31M,$763.62,,,,,,,,,,,,,,,,,,,
TWI,0031007610,IV HYD ADD HR,$374.85,,,,,,,,,,,,,,,,,,,
TWI,0031007651,IV TX INIT 1 HR,$774.33,,,,,,,,,,,,,,,,,,,
TWI,0031007669,IV INF TX ADD H,$374.85,,,,,,,,,,,,,,,,,,,
TWI,0031007677,IV SEQUENTL 1HR,$395.20,,,,,,,,,,,,,,,,,,,
TWI,0031007685,IV CONCURRENT,$397.34,,,,,,,,,,,,,,,,,,,
TWI,0031007743,INJ T/P/D IVP,$199.21,,,,,,,,,,,,,,,,,,,
TWI,0031007750,INJ ADD SEQ IVP,$199.21,,,,,,,,,,,,,,,,,,,
TWI,0031007768,SEQ IVP SAME DR,$194.92,,,,,,,,,,,,,,,,,,,
