Department - Charge Category,Item Number - Charge ID,Description,Price
Air ambulance,9900426,GROUND AMBULANCE ALS NON-EMERGENT,983
Air ambulance,9900431,ROTARY WING AIR TRANSPORT,15771
Air ambulance,9900427,GROUND AMBULANCE ALS1 EMERGENT,1796
Air ambulance,9900428,GROUND AMBULANCE BLS NON-EMERGENT,946
Air ambulance,9900429,GROUND AMBULANCE BLS1 EMERGENT,1513
Air ambulance,9900435,AIR AMBULANCE MILEAGE,42
Air ambulance,9900436,ROTARY WING AIR MILEAGE,60
Air ambulance,9900998,GROUND AMBULANCE RESPOND,576
Air ambulance,9900425,GROUND AMBULANCE MILAGE,37
Air ambulance,9900430,AIR AMBULANCE - AIR LIFT CHG,15043
Audiology,6500081,"Ear mold.insert, disposable, any type",32
Audiology,6592541,"Spontaneous nystagmus test, including gaze and fixation nystagmus, with recording",258
Audiology,6500123,"Binaural, in the ear",3473
Audiology,6500018,Battery for use in hearing device,1
Audiology,6592570,Acoustic immittance testing inc tympanometry acoustic reflex threshold testing & acoustic rflx decay,36
Audiology,6592567,Tympanometry (impedance testing),151
Audiology,6500085,Conformity Evaluation,125
Audiology,6592544,"Optokinetic nystagmus test, bidirectional, foveal or peripheral stimulation with recording",274
Audiology,6592593,Hearing aid check; binaural,128
Audiology,6592568,Acoustic reflex testing; threshold,114
Audiology,6592586,Auditory evoked potentials for evoked response audiometry and/or testing of the CNS; limited,443
Audiology,6592620,Central Auditory FCN Init 60 m,267
Audiology,6592582,Conditional play audiometry,267
Audiology,6592601,"Diagnostic analysis of cochlear implant, patient under 7 years old; with programming",410
Audiology,6500084,"Ear impression, each",59
Audiology,6592595,Electroacoustic evaluation for hearing aid; biaural,164
Audiology,6500087,Dispensing Fee-Unspec Hearing Aid,109
Audiology,6069209,Removal impacted cerumen using irrigation/lavage unilateral-AUD,185
Audiology,6592552,Pure tone audiometry (threshold); air only,139
Audiology,6500011,Hearing Aid Repair 12 mos (V5014),348
Audiology,6592591,Hearing aid examination and selection; binaural,477
Audiology,6592626,"92626--Eval of aud rehab status (1st hr, pre-op and post-op)",751
Audiology,6592585,Auditory evoked potentials for evoked response audiometry and/or testing of the CNS; comprehensive,443
Audiology,6592563,Tone Decay Test,114
Audiology,6592542,"Positional nystagmus test, minimum of 4 positions, with recording",258
Audiology,6592592,Hearing aid check; monaural,82
Audiology,6592579,Visual reinforcement audiometry (VRA),267
Audiology,6500116,"Hearing aid, monaural, behind the ear",1737
Audiology,6592588,Evoked otoacoustic emissions; comprehensive or diagnostic evaluation,258
Audiology,6592603,"Diagnostic analysis of cochlear implant, patient over 7 years old; with programming",410
Audiology,6592538,Caloric vestibular test w/recording;bilateral; monothermal,240
Audiology,6500013,Repair / modification of a hearing aid,345
Audiology,6500086,Hearing Aid Dispensing Fee,109
Audiology,6592594,Electroacoustic evaluation for hearing aid; monaural,128
Audiology,6500010,Hearing aid repair 6 mos (V5014),313
Audiology,6592555,Speech audiometry threshold,114
Audiology,6592602,"Diagnostic analysis of cochlear implant, patient under 7 years old; subsequent programming",410
Audiology,6592545,"Oscillating tracking test, with recording",258
Audiology,6592565,"Stenger test, pure tone",114
Audiology,6503014,Telehealth originating site facility fee,80
Audiology,6500018,Batteries for use in Hearing device-NSHC,1
Audiology,6592604,"Diagnostic analysis of cochlear implant, patient over 7 years old; subsequent programming",410
Audiology,6592553,Pure tone audiometry; Air and bone,267
Audiology,6592507,"Treatment of speech, language, voice, communication, and/or auditory processing disorder; individual",410
Audiology,6592577,"Stenger test, speech",410
Audiology,6592551,"Sceening test, pure tone, air only",98
Audiology,6592537,"Caloric vestibular test w/recording, bilateral;bithermal",481
Audiology,6592587,Evoked otoacoustic emissions; limited,258
Audiology,6592548,Posturography,258
Audiology,6592557,Comprehensive audiometry threshold evaluation and speech recognition (92553 and 92556 combined),267
Audiology,6592590,Hearing aid examination and selection; monaural,260
Audiology,6500122,"Hearing aid, monaural, in the ear",1737
Audiology,6592540,Basic vestibular evaluation,467
Audiology,6592546,Sinusoidal Rotational Test,119
Audiology,6992556,Speech audiometry threshold with speech recognition,267
Audiology,6592627,92627--Eval of aud rehab status (each add'l 15min),187
Audiology,6500117,"Binaural, behind the ear",3473
Audiology,6500008,Fitting / orientation / checking of hearing aid,279
Behavioral Health Services,7002011,"Crisis intervention service, per 15 minutes",40
Behavioral Health Services,7090849,Multiple family group psychotherapy 60 min,255
Behavioral Health Services,70099213,Comprehensive Medication Services (99213) per visit,321
Behavioral Health Services,7202019,"Therapeutic behavioral services, per 15 minutes",29
Behavioral Health Services,7090853,Group psychotherapy (other than of a multiple-family group).,130
Behavioral Health Services,7090834,"Psychotherapy, 45 minutes with patient",174
Behavioral Health Services,7096101,"Psychological testing per hr of the clinician's time, both face-to-face & interpreting report",436
Behavioral Health Services,7090846,Family psychotherapy (without the patient present),255
Behavioral Health Services,7000001,Alcohol and/or drug assessment,232
Behavioral Health Services,7002015,"Comprehensive community support services, per 15 minutes",29
Behavioral Health Services,7001016,"Case management, each 15 minutes",28
Behavioral Health Services,7196101,"Psychological testing per 15min of clinicians time, both face to face & interpreting report",109
Behavioral Health Services,7102019,Individual Therapeutic Behavioral Health Services-GT 15 MIN,29
Behavioral Health Services,7090791,Psychiatric Assessment,522
Behavioral Health Services,7090847,Family psychotherapy (conjoint psychotherapy) (with patient present).,255
Behavioral Health Services,7002017,"Psychosocial rehabilitation services, per 15 minutes",16
Behavioral Health Services,7100031,"Mental health assessment, by non-physician",522
Behavioral Health Services,7000038,Self-Help/Peer svc Per 15min,29
Behavioral Health Services,7000031,MH Integrated Assessment Not MD,376
Behavioral Health Services,7302019,"Therapeutic behavioral services, per 15 minutes",29
Behavioral Health Services,7190837,Individual Psychotherapy-GT 60 MIN,232
Behavioral Health Services,7190846,Family psychotherapy (without patient present) 30 min,128
Behavioral Health Services,70961301,"Psychological testing evaluation, first hour",436
Behavioral Health Services,7109484,Crisis Intervention 15 MIN,53
Behavioral Health Services,70961311,"Psychological testing evaluation, each additional hour",436
Behavioral Health Services,7202015,"Comprehensive community support services, per 15 minutes",16
Behavioral Health Services,7001023,SCREENING,59
Behavioral Health Services,7200031,Integrated Assessment-GT,522
Behavioral Health Services,7190791,Psychiatric Diagnostic Evaluation-GT,522
Behavioral Health Services,7090832,Individual Psychotherapy 30 MIN,116
Behavioral Health Services,7190847,Family psychotherapy (conjoint with patient present) 30 min,128
Behavioral Health Services,7190849,Multiple family group psychotherapy 30 min,128
Behavioral Health Services,7000046,"Mental health services, not otherwise specified",59
Behavioral Health Services,7002010,"Comprehensive Medication Services, per visit",321
Behavioral Health Services,7190832,Individual Psychotherapy-GT 30 MIN,116
Behavioral Health Services,7190853,Group psychotherapy (other than of a multiple family grp) 30 min,65
Behavioral Health Services,7102010,Comprehensive Medication Services-GT per visit,321
Behavioral Health Services,7101023,Alaska Screening Tool-GT,59
Behavioral Health Services,7002019,"Therapeutic behavioral services, per 15 minutes",29
Behavioral Health Services,7009484,"Crisis intervention mental health services, per hour",213
Behavioral Health Services,7100046,Client Status Review-GT,59
Behavioral Health Services,7090837,"Psychotherapy, 60 minutes with patient",232
Behavioral Health Services,7099408,Alcohol and/or substance abuse structured screening (15-30 minutes) (SBIRT),59
Behavioral Health Services,7402019,"Therapeutic behavioral services, per 15 minutes",16
Behavioral Health Services,7102015,Individual Comprehensive Community Support Services-GT 15 MIN,29
Behavioral Health Services,7003014,Telehealth originating site fee,76
Central Supply,NS0501474,"Lift, Heel Adjustable Med",53
Central Supply,NS0062211,Support Maternity #6699 03,332
Central Supply,NS0060443,G Tube 3 Port 20 Fr,147
Central Supply,NS0052331,Bra For Prothesis,348
Central Supply,NS0501043,Brace Palumbo Patella Xxl,285
Central Supply,NS0065751,Comprilan 4Cm X 5M,43
Central Supply,NSHC0000525,"SUTURE, VICRYL 3-0(344)",36
Central Supply,NS0501303,"Dressing, Duoderm Cgf 4 X 4",51
Central Supply,NS8200374,Cpap Disp Mask,75
Central Supply,NS0062411,Splint Thumb Immobilizer Lg,113
Central Supply,NSHC0047862,"BRACE, KNEE HINGED LG",324
Central Supply,NSHC0000039,"TUBE, ET 5.5",19
Central Supply,NS0501433,Anklet Posterior Cusure Lg,312
Central Supply,NS0501288,"Brace, Hinged Knee Sm",202
Central Supply,NS8205704,8 Liters/Minute,21
Central Supply,NSHC0000438,"SPLINT,ORTHO-GLASS 3X15 INCHES",569
Central Supply,NS0061374,Splint Pin Safety Modified,83
Central Supply,NS0500947,Catheter Coude 16Fr,161
Central Supply,NSHC0074822,"TUBE, ET PEDIATRIC 4.0",122
Central Supply,NSHC0044974,"SHOE, POST-OP, WOMENS, MED",48
Central Supply,NS0501709,"Brace, Ome Train Shoulder",413
Central Supply,NS0072421,"Pessary,Size 2, W/Knob&W/Suppo",418
Central Supply,NS0501603,Wheaton Brace Rt Ft,486
Central Supply,NS0063129,Sleeve Knee Elastic Cap,46
Central Supply,NS0059158,"Thumb Wrap,Comfort",69
Central Supply,NSHC0011265,"LAVAGE, SYSTEM GASTRIC ADULT",579
Central Supply,NS0501238,"Shoe, Post-Op Male Med.",57
Central Supply,NS0501669,"Splint, Cmc Blk Brth. Med Lft",218
Central Supply,NSHC0000515,"SUTURE, PROLENE 4-0 8629H",62
Central Supply,NS8206110,13 Liters/Min,24
Central Supply,NS0501017,Immobilizer Knee Small,170
Central Supply,NSHC0023510,"PAD, HAPAD ARCH MET LG 1/2 INCHES",42
Central Supply,NSHC0000020,"CATHETER, THORACIC, 32FR, STR",35
Central Supply,NSHC0056041,"PAD, HEEL DONUT GEL MENS",180
Central Supply,NS8205605,7 Liters/Minute,20
Central Supply,NS0063675,Shoe Post Op Wm Sm,65
Central Supply,NS0500937,Kit Central Vein Cath 16Ga,2228
Central Supply,NSHC0000380,"IMMOBILIZER, SHOULDER MEN X-L",74
Central Supply,NS8206009,11 Liters/Minute,23
Central Supply,NSHC0024256,"CATHETER, INTRAUTERINE PRESSUR",757
Central Supply,NS0501637,"Brace, Knee Hinged Wraround Lg",460
Central Supply,NS0500413,"Pacing,Silicore Kit",527
Central Supply,NS0501229,"Support, Superior Thumb Med/Lf",182
Central Supply,NS9007618,Heel Lift - Small,20
Central Supply,NS0501445,"Support, Impluse Molded He/Arc",119
Central Supply,NS0501032,Splint Wrist Med Left,50
Central Supply,NS0501294,"Orthosis, Cas",723
Central Supply,NS0500355,Pessary Inflated Rubber,268
Central Supply,NS0501176,Tent Mist Open Ped Ohio,78
Central Supply,NS9006602,"Support,Hinged Knee",123
Central Supply,NS0501379,Support Natal Med,405
Central Supply,NSHC0043747,"SUPPORT, SWEDE-O-ANKLE LARGE",244
Central Supply,NS0500925,Strap Montgomery,71
Central Supply,NSHC0045477,"SPLINT, BUNION MED/LEFT",29
Central Supply,NS0592204,"Collar,Cervical - Medium",34
Central Supply,NSHC0000388,"IMMOBILIZER, SHOULDER MEN SM",71
Central Supply,NS0633602,"Tube,Lavacutor 28 Fr",76
Central Supply,NS0500908,Pessary Gellhorn 3-3/4,405
Central Supply,NS0501579,"Brace, Ankle/Foot Ank/Foot",1702
Central Supply,NSHC0046408,"BRACE, KNEE HINGED BLK MED",194
Central Supply,NSHC0045488,"ROLLER, FOAM 36 X 4 INCHES",91
Central Supply,NS0501045,Support Ankle Large,114
Central Supply,NS0514000,Catheter Thor Str 36Fr,40
Central Supply,NSHC0042438,"BRACE, HUMERAL FRACTURE LG.LFT",184
Central Supply,NS0501193,Brace Acl Right,1662
Central Supply,NS0593905,"Rib Belt,Woman - Medium",37
Central Supply,NSHC0071859,"CUFF, BP DISP. SMALL ADULT",34
Central Supply,NS0501446,"Insert, Diabetic Shoe",97
Central Supply,NS0500018,Premier Two Piece Ostomy,84
Central Supply,NS0062663,Splint Bunnell 3.5,68
Central Supply,NS0501460,"Binder, Surgical 9 Universal""",349
Central Supply,NS0615005,"Suture,Vicryl",48
