CDM NAME,HOSPITAL,TECHNICAL DESCRIPTION,TOTAL CHARGE
BMC,Brookwood Medical Center ,PRIVATE ROOM,"$4,004.00 "
BMC,Brookwood Medical Center ,SEMI-PRIVATE ROOM,"$4,004.00 "
BMC,Brookwood Medical Center ,PSYCHIATRIC ISOLATION,"$7,472.00 "
BMC,Brookwood Medical Center ,PRIV ISOLATION,"$3,941.00 "
BMC,Brookwood Medical Center ,PRIVATE DELUXE,"$4,291.00 "
BMC,Brookwood Medical Center ,NEWBORN LEVEL I,"$1,624.00 "
BMC,Brookwood Medical Center ,NEWBORN OTHER,$215.00 
BMC,Brookwood Medical Center ,NICU NB LVL IV,"$8,677.00 "
BMC,Brookwood Medical Center ,INTENSIVE CARE UNIT,"$8,677.00 "
BMC,Brookwood Medical Center ,CORONARY CARE UNIT,"$8,677.00 "
BMC,Brookwood Medical Center ,CORONARY CARE INTERMED,"$11,602.00 "
BMC,Brookwood Medical Center ,INTENSIVE CARE OTHER,"$11,602.00 "
BMC,Brookwood Medical Center ,SEMI-PRIVATE PSYCHIATRIC,"$3,364.00 "
BMC,Brookwood Medical Center ,PRIVATE OBSTETRICS,"$4,291.00 "
BMC,Brookwood Medical Center ,PRIVATE SUITE,"$4,400.00 "
BMC,Brookwood Medical Center ,SEMI-PRIVATE REHAB,"$3,941.00 "
BMC,Brookwood Medical Center ,PRIVATE PSYCHIATRIC,"$3,364.00 "
BMC,Brookwood Medical Center ,INTENSIVE CARE PSYCH,"$4,332.00 "
BMC,Brookwood Medical Center ,ISOLATION STERILE ENVIR,"$4,291.00 "
BMC,Brookwood Medical Center ,INTENSIVE CARE INTERMED,"$5,720.00 "
BMC,Brookwood Medical Center ,PRIVATE REHABILITATION,"$4,004.00 "
BMC,Brookwood Medical Center ,SEMI-PRIVATE DETOX,"$3,364.00 "
BMC,Brookwood Medical Center ,PRIVATE DETOXIFICATION,"$3,364.00 "
BMC,Brookwood Medical Center ,PRIVATE DELUXE OB,"$3,193.00 "
BMC,Brookwood Medical Center ,HIGH RISK OB PRIV,"$5,720.00 "
BMC,Brookwood Medical Center ,SURGICAL SPECIMEN,$845.35 
BMC,Brookwood Medical Center ,BX BREAST OPEN INCIS,"$3,968.00 "
BMC,Brookwood Medical Center ,BX BRST NDL UNGUIDED,"$2,688.69 "
BMC,Brookwood Medical Center ,ASPIR BREAST CYST,"$2,339.66 "
BMC,Brookwood Medical Center ,US BREAST UNI LTD,"$1,587.22 "
BMC,Brookwood Medical Center ,BX BRST 1ST LESION STRTC,"$5,620.27 "
BMC,Brookwood Medical Center ,BX BRST ADD LESION STRTC,"$5,620.27 "
BMC,Brookwood Medical Center ,BX BRST 1ST LESION US,"$4,429.81 "
BMC,Brookwood Medical Center ,BX BRST ADD LESION US,"$4,429.81 "
BMC,Brookwood Medical Center ,PERC DEVC BRST 1ST MAMMO,"$4,422.87 "
BMC,Brookwood Medical Center ,PERC DEVC BRST 1ST STRTC,$557.32 
BMC,Brookwood Medical Center ,PERC DEVC BRST ADD STRTC,$279.32 
BMC,Brookwood Medical Center ,PERC DEVC BRST 1ST US,$557.32 
BMC,Brookwood Medical Center ,PERC DEVC BRST ADD US,$278.06 
BMC,Brookwood Medical Center ,LITHOTRIPSY OTHER,"$6,965.99 "
BMC,Brookwood Medical Center ,LITHOTRIPSY,"$6,966.20 "
BMC,Brookwood Medical Center ,SPEC PROC W/LITHO,"$20,897.97 "
BMC,Brookwood Medical Center ,FETAL NON-STRESS TEST,$927.88 
BMC,Brookwood Medical Center ,US OB LTD 1OR> FETUS,"$1,362.93 "
BMC,Brookwood Medical Center ,IV INF HYD INIT 31-60MIN,$686.23 
BMC,Brookwood Medical Center ,IV INF HYD EA ADD HR,$455.36 
BMC,Brookwood Medical Center ,IV INF TX INIT <=1 HR,$821.53 
BMC,Brookwood Medical Center ,IV INF TX EA ADD HR,$483.90 
BMC,Brookwood Medical Center ,IV INF SEQUENTL 1 HR,$466.72 
BMC,Brookwood Medical Center ,IV INF CONCURRENT,$461.05 
BMC,Brookwood Medical Center ,INJ TX/PRPH/DX IVP INT,$217.18 
BMC,Brookwood Medical Center ,INJ ADD SEQUENTL IVP,$192.45 
BMC,Brookwood Medical Center ,INJ T/P/D IVP SAME SUBST,$192.45 
BMC,Brookwood Medical Center ,INJ TX/PROPH/DX SQ/IM,$170.35 
BMC,Brookwood Medical Center ,L&D SPEC PROC INT 30 MIN,$287.31 
BMC,Brookwood Medical Center ,L&D SPEC PROC ADD 15 MIN,$138.43 
BMC,Brookwood Medical Center ,LABOR SIMPLE 1ST HR,$430.91 
BMC,Brookwood Medical Center ,LABOR SIMPLE ADD HR,$345.56 
BMC,Brookwood Medical Center ,LABOR INTERIM 1ST HR,$539.58 
BMC,Brookwood Medical Center ,LABOR INTERIM ADD HR,$423.21 
BMC,Brookwood Medical Center ,LABOR COMPLEX 1ST HR,$697.86 
BMC,Brookwood Medical Center ,LABOR COMPLEX ADD HR,$480.91 
BMC,Brookwood Medical Center ,DELIVERY SIMPLE,"$3,153.44 "
BMC,Brookwood Medical Center ,DELIVERY COMPLEX,"$4,903.02 "
BMC,Brookwood Medical Center ,L&D SURG LVL I INT 30 M,"$1,682.76 "
BMC,Brookwood Medical Center ,L&D SURG LVL I EA 15 MIN,$755.95 
BMC,Brookwood Medical Center ,L&D SURG LVL II INT 30 M,"$2,135.98 "
BMC,Brookwood Medical Center ,L&D SURG LVL II EA 15 M,"$1,007.54 "
BMC,Brookwood Medical Center ,L&D SURG LVL III INT 30M,"$2,713.17 "
BMC,Brookwood Medical Center ,L&D SURG LVL III EA 15M,"$1,356.59 "
BMC,Brookwood Medical Center ,L&D SURG LVL IV INT 30M,"$3,941.06 "
BMC,Brookwood Medical Center ,L&D SURG LVL IV EA 15M,"$1,792.02 "
BMC,Brookwood Medical Center ,L&D RECOVERY INT 30 MIN,$358.58 
BMC,Brookwood Medical Center ,L&D RECOVERY ADD 15 MIN,$178.52 
BMC,Brookwood Medical Center ,CIRCUMCISION,$846.30 
BMC,Brookwood Medical Center ,NEWBORN RESUSCITATION,"$3,960.11 "
BMC,Brookwood Medical Center ,SURG PROC NICU 1ST 30MN,$430.95 
BMC,Brookwood Medical Center ,HEPATITIS B VACC ADMIN,$148.34 
BMC,Brookwood Medical Center ,IMM ADMIN SNGL/COMBO VAC,$120.07 
BMC,Brookwood Medical Center ,IMM ADM EA ADDL VACCINE,$82.85 
BMC,Brookwood Medical Center ,UMBILICAL ART LINE NB,"$1,580.72 "
BMC,Brookwood Medical Center ,UMBILICAL VEIN LINE NB,$893.70 
BMC,Brookwood Medical Center ,SURFACTANT ADMIN TUBE,$290.71 
BMC,Brookwood Medical Center ,EXCH TRANS NEWBORN,"$1,101.49 "
BMC,Brookwood Medical Center ,RECOVERY EA ADD 15 MIN,$605.11 
BMC,Brookwood Medical Center ,RECOVERY INIT 30 MIN,"$1,247.36 "
BMC,Brookwood Medical Center ,SURG LEVEL I EA ADD15M,"$2,510.09 "
BMC,Brookwood Medical Center ,SURG LEVEL II INT 30MIN,"$6,155.53 "
BMC,Brookwood Medical Center ,SURG LEVEL II EA ADD 15M,"$2,831.12 "
BMC,Brookwood Medical Center ,SURG LEVEL III INT 30MIN,"$5,273.61 "
BMC,Brookwood Medical Center ,SURG LEVEL III EA ADD 15,"$2,560.72 "
BMC,Brookwood Medical Center ,SURG LEVEL IV INT 30 MIN,"$5,579.08 "
BMC,Brookwood Medical Center ,SURG LEVEL IV EA ADD 15,"$2,712.89 "
BMC,Brookwood Medical Center ,RBTCS DAVN LVL III INT30,"$5,800.97 "
BMC,Brookwood Medical Center ,RBTCS DAVN LVL III EA 15,"$2,816.79 "
BMC,Brookwood Medical Center ,RBTCS DAVN LVL IV INT 30,"$5,579.08 "
BMC,Brookwood Medical Center ,RBTCS DAVN LVL IV EA 15,"$2,712.89 "
BMC,Brookwood Medical Center ,SURG LEVEL I INT 30MIN,"$5,920.41 "
BMC,Brookwood Medical Center ,SURG LEVEL I EA ADD15M,"$2,613.81 "
BMC,Brookwood Medical Center ,SURG LEVEL II INT 30MIN,"$7,509.87 "
BMC,Brookwood Medical Center ,SURG LEVEL II EA ADD 15M,"$3,639.07 "
BMC,Brookwood Medical Center ,SURG LEVEL III INT 30MIN,"$7,971.61 "
BMC,Brookwood Medical Center ,SURG LEVEL III EA ADD 15,"$3,870.80 "
BMC,Brookwood Medical Center ,SURG LEVEL IV INT 30 MIN,"$8,433.37 "
BMC,Brookwood Medical Center ,SURG LEVEL IV EA ADD 15,"$4,100.82 "
BMC,Brookwood Medical Center ,RBTCS DAVN LVL III INT30,"$6,643.88 "
BMC,Brookwood Medical Center ,RBTCS DAVN LVL III EA 15,"$3,226.08 "
BMC,Brookwood Medical Center ,RBTCS DAVN LVL IV INT 30,"$6,389.75 "
BMC,Brookwood Medical Center ,RBTCS DAVN LVL IV EA 15,"$3,107.09 "
BMC,Brookwood Medical Center ,BLD AUTOSLV INTRA/PSOP,"$2,260.67 "
