DeKalb,,,
,,,
,,,
Standard Charges,,,
DRG (CADRG),Description,Average Charge Per Case,Average Medicare Payment Per Case
3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","343,995","99,305"
4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","239,830","63,616"
42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,"287,013","14,808"
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"99,356","10,863"
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"76,008","6,944"
59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"79,917", NO Medicare Data 
60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"35,566", NO Medicare Data 
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","119,562","15,175"
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","81,551","11,907"
63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC","104,600","9,162"
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"73,068","10,706"
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"57,240","5,953"
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"42,128","4,392"
68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"56,973","5,162"
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"56,767","4,600"
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"37,518", NO Medicare Data 
72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"65,077", NO Medicare Data 
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"52,805","5,321"
