Procedure Description,CPT(R)/HCPCS Code, Unit Price 
HC RM & BD - SEMI PRIVATE,," 2,804.00 "
HC RM & BD - MATERNITY,," 3,822.00 "
HC RM & BD - PSYCHIATRY,," 2,804.00 "
HC RM & BD - HOSPICE,," 1,129.00 "
HC RM & BD - NURSERY NEWBORN LEVEL I,," 2,085.00 "
HC RM & BD - NURSERY NEWBORN LEVEL II,," 5,212.00 "
HC RM & BD - NURSERY NEWBORN LEVEL IV,," 5,212.00 "
HC RM & BD - INTENSIVE CARE - GENERAL,," 7,008.00 "
HC RM & BD - INTENSIVE CARE - INTERMEDIATE,," 4,864.00 "
HC RM & BD - CORONARY CARE,," 4,864.00 "
"HC RECOVERY, INITIAL 30 MINS",, 778.00 
"HC RECOVERY, EA ADDTL MIN",, 14.00 
HC DEL ROOM - SCHEDULED CHARGE,, 688.00 
"HC OR TIME, INITIAL 30 MINS",," 2,675.00 "
"HC OR TIME, EA ADDTL MIN",, 49.00 
HC NEUROPHYSCIOLOGY MON&SUPP/HR 0,, 735.00 
"HC ANESTHESIA FAC, INIT 30 MINS",, 573.00 
"HC ANESTHESIA FAC, EA ADDTL MIN",, 16.00 
"HC MINOR PROC RM, INIT 30 MIN",," 2,675.00 "
"HC MINOR PROC RM, EA ADDTL MIN",, 49.00 
HC NORMAL C SECTION (1/2 HR),," 1,364.00 "
HC COMPLICATED C SECTION (1/2 H,," 1,591.00 "
HC ADDITIONAL PROCEDURE (30 MIN),," 1,364.00 "
HC VAGINAL DELIVERY,, 507.00 
"HC GI TIME, INITIAL 30 MIN",," 3,822.00 "
"HC GI TIME, EA ADDTL MIN",, 14.00 
"HC FINE NEEDLE ASPIRATION BIOPSY, W/O IMAGING GUIDANCE",10004," 1,448.35 "
"HC FINE NEEDLE ASPIRATION BX, INCLUDING ULTRASOUND GUIDANCE;1ST LESION",10005," 1,448.35 "
"HC FINE NEEDLE ASPIRATION BX, W/US GUIDANCE; EA ADDL LESION",10006," 1,448.35 "
"HC FINE NEEDLE ASPIRATION BX, W/FLUOROSCOPIC GUIDANCE; FIRST LESION",10007," 1,448.35 "
"HC FINE NEEDLE ASPIRATION BX, W/ FLUORO GUIDANCE;EACH ADDL LESION",10008," 1,448.35 "
"HC FINE NEEDLE ASPIRATION BIOPSY, INCLUDING CT GUIDANCE; FIRST LESION",10009," 1,448.35 "
"HC FINE NEEDLE ASPIRATION BIOPSY, W/ CT GUIDANCE; EA ADDL LESION",10010," 1,448.35 "
"HC FINE NEEDLE ASPIRATION BIOPSY, INCLUDING MR GUIDANCE; FIRST LESION",10011," 1,448.35 "
"HC FINE NEEDLE ASPIRATION BIOPSY, W/MR GUIDANCE; EA ADDL LESION",10012," 1,448.35 "
HC FINE NEEDLE ASPIRATION W/O IMAGING GUIDANCE,10021, 374.00 
HC FINE NEEDLE ASPIRATION W/O IMAGING GUIDANCE (PRO FEE),10021, 311.00 
HC FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE,10022," 1,230.00 "
HC IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,10030," 2,570.00 "
HC ACNE SURGERY,10040, 174.00 
HC INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE,10060, 318.00 
HC INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE (PRO FEE),10060, 345.00 
HC INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE,10061, 395.00 
HC INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE (PRO FEE),10061, 370.00 
HC INCISION & DRAINAGE PILONIDAL CYST SIMPLE,10080, 573.00 
HC INCISION & DRAINAGE PILONIDAL CYST SIMPLE (PRO FEE),10080, 573.00 
HC INCISION & DRAINAGE PILONIDAL CYST COMPLICATED,10081," 2,405.00 "
HC INCISION & DRAINAGE PILONIDAL CYST COMPLICATED (PRO FEE),10081, 573.00 
HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE,10120, 456.00 
HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE (PRO FEE),10120, 311.00 
HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,10121," 2,480.00 "
