CDM,Description,Standard Charge,Surgery Center/Procedure Room Charge,L&D Charge,Supply Charge Range
1100011000,HB SINGLE," $4,110.00 ",,,
1100011100,HB SINGLE MED/SURG," $4,110.00 ",,,
1100011200,HB SINGLE OB," $4,110.00 ",,,
1100011300,HB SINGLE PEDS," $4,110.00 ",,,
1100011400,HB SINGLE PSYCH," $3,317.00 ",,,
1100011700,HB SINGLE ONCOLOGY," $4,110.00 ",,,
1200012000,HB SEMIPRIVATE," $4,110.00 ",,,
1200012100,HB SEMIPRIVATE MED SURG GYN," $4,110.00 ",,,
1200012200,HB SEMIPRIVATE OB," $4,110.00 ",,,
1200012300,HB SEMIPRIVATE PEDS," $4,110.00 ",,,
1200012400,HB SEMIPRIVATE PSYCH," $3,317.00 ",,,
1200012700,HB SEMIPRIVATE ONCOLOGY," $4,110.00 ",,,
1300013000,HB MULTIBED STANDARD," $4,110.00 ",,,
1300013100,HB MULTIBED MED SURG GYN," $4,110.00 ",,,
1300013200,HB MULTIBED OB," $4,110.00 ",,,
1300013300,HB MULTIBED PEDS," $4,110.00 ",,,
1300013700,HB MULTIBED ONCOLOGY," $4,110.00 ",,,
1400020000,HB  ECMO ROLLER PUMP-INHOUSE TRANSPORT," $1,720.00 ",,,
1403394600,HB ECMO SUPPORT VENOVENOUS INITIATION," $8,960.00 ",,,
1403394700,HB ECMO SUPPORT VENOARTERIAL INITIATION," $8,960.00 ",,,
1403394800,HB ECMO SUPPORT VENOVENOUS EA ADDL 24HR," $8,960.00 ",,,
1403394900,HB ECMO SUPPORT VENOARTERIAL EA ADDL 24HR," $8,960.00 ",,,
1450042100,HB  PERFUSION IABP INSERT/CHANGE VIA FEM ART PERCUTN," $1,730.00 ",,,
1450042400,HB  PERFUSION IABP REMOVE VIA FEM ART PERCUTN, $110.00 ,,,
1450052000,HB  PERFUSION ABLATE VENTR ARRYHYTHM FOCI CPB," $1,970.00 ",,,
1450080600,HB  PERFUSION PLATELET GEL PROCESSING, $240.00 ,,,
1450110100,HB  PERFUSION HOURS 1.00," $10,390.00 ",,,
1450110200,HB  PERFUSION HOURS 2.00," $10,780.00 ",,,
1450110300,HB  PERFUSION HOURS 3.00," $11,170.00 ",,,
1450110400,HB  PERFUSION HOURS 4.00," $11,560.00 ",,,
1450110500,HB  PERFUSION HOURS 5.00," $11,950.00 ",,,
1450110600,HB  PERFUSION HOURS 6.00," $12,340.00 ",,,
1450110700,HB  PERFUSION HOURS 7.00," $12,730.00 ",,,
1450110800,HB  PERFUSION HOURS 8.00," $13,120.00 ",,,
1450110900,HB  PERFUSION HOURS 9.00," $13,510.00 ",,,
1450111000,HB  PERFUSION HOURS 10.00," $13,900.00 ",,,
1450111100,HB  PERFUSION HOURS 11.00," $14,290.00 ",,,
1450111200,HB  PERFUSION HOURS 12.00," $14,680.00 ",,,
1450111300,HB  PERFUSION HOURS 13.00," $15,070.00 ",,,
1450111400,HB  PERFUSION HOURS 14.00," $15,460.00 ",,,
1450111500,HB  PERFUSION HOURS 15.00," $15,850.00 ",,,
1450111600,HB  PERFUSION HOURS 16.00," $16,240.00 ",,,
1450111700,HB  PERFUSION HOURS 17.00," $16,630.00 ",,,
1450111800,HB  PERFUSION HOURS 18.00," $17,020.00 ",,,
1450111900,HB  PERFUSION HOURS 19.00," $17,410.00 ",,,
1450112000,HB  PERFUSION HOURS 20.00," $17,800.00 ",,,
1450112100,HB  PERFUSION HOURS 21.00," $18,190.00 ",,,
