"SVCCD","Description","PRICE1","As of Date"
"1010014","NI-EKG, 12 LEADS    ",864.16,"7/2/2019"
"1010015","NI-STRESS TEST      ",3171.64,"7/2/2019"
"1010045","NI-HOLTER RECRD TO48",4281.13,"7/2/2019"
"1020030","EEG 41-60 MIN       ",7618.10,"7/2/2019"
"1020032","EEG AWAKE DROWSY    ",1114.21,"7/2/2019"
"1030003","EMG, 2 EXTREM       ",2495.80,"7/2/2019"
"1030041","MUSCLE TEST CRAN UNI",1834.46,"7/2/2019"
"1030049","MUSC TST W-N TST COM",1248.06,"7/2/2019"
"1030062","MTR-SENS 3-4 NRV TST",1981.22,"7/2/2019"
"1030063","MTR-SENS 5-6 NRV TST",1981.22,"7/2/2019"
"1030066","MTR-SES 11-12 NRV TS",3664.50,"7/2/2019"
"1040021","NI-CARDI REHAB W- MO",702.92,"7/2/2019"
"1040022","NI-CARD REHAB PH 3  ",90.91,"7/2/2019"
"1040025","RESP FX TRAIN GROUP ",550.50,"7/2/2019"
"1040026","NI-PULM REHAB PH 3  ",72.73,"7/2/2019"
"1040030","PULM REHAB W EXER   ",952.97,"7/2/2019"
"1041018","PULM STRESS SIMPLE  ",787.75,"7/2/2019"
"1050018","NI-TILT TABLE       ",5183.72,"7/2/2019"
"1050081","NI-TTE CONG LTD WWO ",4665.65,"7/2/2019"
"1050086","NI-TTE STRESS WO    ",8003.26,"7/2/2019"
"1050089","NI-TEE COMP WO      ",10077.38,"7/2/2019"
"1050090","NI-TTE 2D MM LTD WO ",4665.65,"7/2/2019"
"1050092","NI-TTE 2D W DOPP WO ",8003.26,"7/2/2019"
"1050115","NI-TTE 2D W DOPP WWO",8003.26,"7/2/2019"
"1060086","S-PERC VRT AUG THOR ",63859.00,"7/2/2019"
"1060087","S-PERC VRT AUG LUMB ",56368.00,"7/2/2019"
"1060092","S-INSERTION TIPS    ",64406.36,"7/2/2019"
"1060093","S-PLC BIL DRN CATH  ",16700.00,"7/2/2019"
"1060095","S-RM RENAL TUBE W FL",4000.00,"7/2/2019"
"1060097","S-INJ NEPH URT EXST ",7859.00,"7/2/2019"
"1060098","S-PLC NPHROSTMY CTH ",16971.00,"7/2/2019"
"1060099","S-EXCHG NPHSTMY CTH ",19160.00,"7/2/2019"
"1060102","S-PLC URTL ST NEW W ",16820.00,"7/2/2019"
"1061232","CC-INSERT IABP      ",4683.93,"7/2/2019"
"1061239","IC-COR THROMBECTOMY ",33723.43,"7/2/2019"
"1061242","IC-IVUS, INIT       ",5128.28,"7/2/2019"
"1061243","IC-IVUS, ADDL       ",5128.28,"7/2/2019"
"1061246","IC-PTCA, SINGLE     ",19276.42,"7/2/2019"
"1061247","IC-PTCA, ADDL       ",19276.42,"7/2/2019"
"1061259","EP-EVAL GEN, INDUC  ",390.19,"7/2/2019"
"1061266","P-INS GEN-LEAD VEN  ",58968.06,"7/2/2019"
"1061267","P-INS DUAL PAC SYS  ",72027.19,"7/2/2019"
"1061268","P-INS TMP PAC LD SGL",25793.87,"7/2/2019"
"1061273","P-REPOS RA-RV LEAD  ",9578.22,"7/2/2019"
"1061274","P-INS LEAD SNGL     ",23437.89,"7/2/2019"
"1061275","P-INS LEAD DUAL     ",25793.87,"7/2/2019"
"1061278","P-REVSE POCKET PACE ",6294.78,"7/2/2019"
"1061284","P-REMOV LEAD, SNG   ",9578.22,"7/2/2019"
"1061285","P-REMOV LEAD, DUAL  ",9578.22,"7/2/2019"
"1061296","S-INJ EXTREMPSEUDOAN",830.78,"7/2/2019"
"1061300","S-INTROCATH VEN 2ND ",2820.50,"7/2/2019"
"1061302","S-INTROCATH R L PULM",2081.99,"7/2/2019"
"1061322","S-CATH EXTREM ART   ",1613.07,"7/2/2019"
"1061325","S-INTROCATH AORTA   ",2550.60,"7/2/2019"
"1061326","S-THORACIC 1ST ORDER",3608.44,"7/2/2019"
"1061327","S-THORACIC 2ND ORDER",4066.35,"7/2/2019"
"1061328","S-THORACIC 3RD ORDER",4896.82,"7/2/2019"
"1061330","S-ABDOMEN 1ST ORDER ",3775.98,"7/2/2019"
"1061331","S-ABDOMEN 2ND ORDER ",4066.35,"7/2/2019"
"1061332","S-ABDOMEN 3RD ORDER ",4896.82,"7/2/2019"
"1061360","IR-ANGIO VISCERAL SE",19913.53,"7/2/2019"
"1061377","IR-INTRAVASC US INI ",1261.90,"7/2/2019"
"1061418","HEART FLOW MEASURE  ",5128.28,"7/2/2019"
"1061419","HEART FLOW MEAS ADD ",5128.28,"7/2/2019"
"1061448","S-PRIM ART MECH THRO",13854.00,"7/2/2019"
"1061467","S-INS-REP PACE-DEFIB",77778.00,"7/2/2019"
"1061473","CC-INS NT CVC GT 5YR",8530.77,"7/2/2019"
"1061480","NI-CARDIOVERSION    ",3625.00,"7/2/2019"
"1061487","S-INCISION HEART SAC",1573.38,"7/2/2019"
"1061501","CC-RHC              ",18086.63,"7/2/2019"
"1061503","CC-R-L CATH LV PUNC ",20579.92,"7/2/2019"
"1061504","CC-ANGIO CORON ONLY ",22125.27,"7/2/2019"
"1061505","CC-S-I VNT ATR ANGIO",16412.00,"7/2/2019"
"1061506","CC-R HRT CORONRY ART",24250.00,"7/2/2019"
"1061507","CC-R HRT ART-GRF ANG",31200.00,"7/2/2019"
"1061508","CC-L HRT ARTERY-VENT",24617.61,"7/2/2019"
"1061509","CC-L HRT ART-GRF ANG",26761.95,"7/2/2019"
"1061510","CC-R-L HRT ART-VENT ",24616.98,"7/2/2019"
"1061511","CC-R-L HRT ART-ANGIO",26761.95,"7/2/2019"
"1061513","S-ILIAC REVASC      ",40294.72,"7/2/2019"
"1061514","S-ILIAC REVAS W STNT",60338.00,"7/2/2019"
"1061517","S-FEM POP REVAS TLA ",51927.53,"7/2/2019"
"1061518","S-FEM POP REVAS ATHR",75965.35,"7/2/2019"
"1061519","S-FEM POP REVAS STNT",85797.73,"7/2/2019"
"1061520","S-FEM POP STNT ATHR ",99999.99,"7/2/2019"
"1061521","S-TIB PER REVAS W TL",51927.53,"7/2/2019"
"1061522","S-TIB PER REVAS ATHR",75965.35,"7/2/2019"
"1061523","S-TIB PER REVAS STNT",85797.73,"7/2/2019"
"1061524","S-TIB PER REV STN AT",99999.99,"7/2/2019"
"1061526","S-INS CATH RENART 1U",12602.16,"7/2/2019"
"1061527","S-INS CATH RENART 1B",12602.16,"7/2/2019"
"1061530","IC-TRL PERI ATH VISC",27342.05,"7/2/2019"
"1061536","S-INS ENDO VENA CAVA",14798.46,"7/2/2019"
