Highland Hospital,,,,
Charge Description Master: June 2018,,,,
CDM Code,Description,Price,,
10021,Fine Needle Aspiration W/O Image Guide, $422 ,,
10022,ASPIRATION FINE NEEDLE W/IMAG, $778 ,,
10030,IMAGE-GUIDED FLUID DRAINAGE BY CATHETER," $1,923 ",,
10040,ACNE SURGERY, $218 ,,
10060,"Incision & Drainage Abscess, Simple", $655 ,,
10061,"Incision & Drainage Abscess, Complex", $422 ,,
10080,"Incision & Drainage Pilonidal Cyst, Smpl", $778 ,,
10081,I&D PILONIDAL CYST COMPLE," $1,195 ",,
10120,"Incision & Removal FB, Subq Tissue; Smpl", $714 ,,
10121,"REMOVAL OF FOREIGN BODY SQ, COMPLICATED"," $3,279 ",,
10140,I & D OF HEMATOMA/FLUID," $3,151 ",,
10160,Puncture Aspiratn Cyst Facilty, $632 ,,
10161,PUNC ASPIRATION ABS/HEMATOMA/BULLA/CYST, $240 ,,
10180,"I&D, COMPLEX, POST-OP WOUND INFECTION"," $3,100 ",,
11000,DEBRIDMENT EXT ECZ/INF SKIN UP TO 10% BS, $654 ,,
11001,"DEBRIDEMENT, INFECTED SKIN EA ADDL 10%", $331 ,,
11004,DEBRID SKIN EXT GENIT&PER," $1,805 ",,
11005,DEBRID SKIN ABDOMINAL WAL," $2,444 ",,
11006,DEBRID SKIN EXT GEN/PERI/," $2,189 ",,
11008,REMOVAL PROSTHETIC MATERI, $860 ,,
11010,DEBRID FX/DISLC SKIN & SU," $2,284 ",,
11011,DEBRID SKIN OP FX SKIN TO MUSCLE," $1,277 ",,
11012,Debrid Fx Skin SQ Muscle & Bone," $3,100 ",,
11042,"Debridment, Subq Tissue; First 20Cm Or <"," $2,484 ",,
11043,DEBRID SKIN-SUBQ-MUSCLE," $2,611 ",,
11044,DEBRID SKIN-MUSCLE-BONE," $2,022 ",,
11045,"Debridement Subq Tissue, Ea Addl 20sq cm"," $4,703 ",,
11046,"DEBRIDEMNT,MUSCLE/FASCIA,EA ADD 20 SQ CM", $123 ,,
11047,"DEBRIDEMENT, BONE EACH ADDITION 20 SQ CM", $206 ,,
11055,"Paring/Cut Benign Lesion, Single Lesion", $266 ,,
11056,"PARING/CUT BENIGN LESION, 2 - 4 LESIONS", $266 ,,
11057,PARING BENIGN LESION >4, $357 ,,
11100,"Biopsy Of Skin, Single Lesion", $590 ,,
11101,Biopsy Skin Lesion Ea Addl, $197 ,,
11200,"Removal Skin Tags, 1 - 15 Lesions", $221 ,,
11201,REMOVE SKIN TAGS ADD-ON =<10 LESIONS, $58 ,,
11300,SHAVE LES TRK/ARM/LEG .5CM OR<, $193 ,,
11301,SHVE LES T/A/L 0.6-1.0CM, $202 ,,
11302,SHAVE LESION T/A/L 1.1 - 2.0 CM, $202 ,,
11303,SHAVE LESION T/A/L  > 2.0 CM, $454 ,,
11305,SHVE LES S/N/H/F/G 0.5CM<, $355 ,,
11306,SHAVE LES SCLP/NK/HND/FT/GEN 0.6 - 1.0CM, $231 ,,
