Hospital Name:  Valley Presbyterian Hospital,,
OSHPD Facility No: 106190812,,
"Effective Date of Charges: June 1, 2018",,
,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,
Evaluation & Management Services (CPT Codes 99201-99499),2017 CPT Code,Average Charge
"Emergency Room Visit, Level 2 (low to moderate severity)",99282, $328.00 
"Emergency Room Visit, Level 3 (moderate severity)",99283, $700.00 
"Emergency Room Visit, Level 4 (high severity)",99284, $959.00 
Outpatient Visit,G0463, $320.00 
Laboratory & Pathology Services (CPT Codes 80047-89398),2017 CPT Code,Average Charge
Basic Metabolic Panel,80048, $479.00 
"Complete Blood Count, automated",85027, $111.00 
"Complete Blood Count, with differential WBC, automated",85025, $140.00 
Comprehensive Metabolic Panel,80053, $520.00 
Prothrombin Time,85610, $95.00 
Thyroid Stimulating Hormone,84443, $118.00 
"Troponin, Quantitative",84484, $127.00 
"Urinalysis, without microscopy",81003, $75.00 
"Urinalysis, with microscopy",81001, $100.00 
Radiology Services  (CPT Codes 70010-79999),2017 CPT Code,Average Charge
"CT Scan, Head or Brain, without contrast",70450," $2,017.00 "
"CT Scan, Pelvis, with contrast",72193," $2,637.00 "
"MRI, Head or Brain, without contrast, followed by contrast",70553," $3,674.00 "
"Ultrasound, OB, 14 weeks or more, transabdominal",76805, $500.00 
"X-Ray, Lower Back, four views",72110, $403.00 
"X-Ray, Chest, two views",71046, $311.00 
Medicine Services  (CPT Codes 90281-99607),2017 CPT Code,Average Charge
"Cardiac Catheterization, Left Heart, percutaneous ",93458," $8,914.00 "
"Inhalation Treatment, pressurized or nonpressurized",94640, $104.00 
Surgery Services  (CPT Codes 10021-69990),2017 CPT Code,Average Charge
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881," $19,838.46 "
EGD with biopsy,43239," $6,204.21 "
Cataract removal lens implant,66984," $11,670.90 "
"Colonoscopy, diagnostic",45378," $2,910.24 "
"Laparoscopy, cholecystectomy",47562," $16,940.79 "
Other Common Outpatient Procedures (list as needed),2017 CPT Code,Average Charge
,,
,,
Count of Reported Procedures (minimum 25 required),,25
Instructions for Completing AB 1045 Common Outpatient Procedure Form,,
"1. Enter Hospital Name and OSHPD Facility Number.  Revise Effective Date of Charges, if necessary.",,
2. Enter Average Charge for at least 25 commonly performed outpatient procedures.  For Evaluation & Management,,
"    Services, do not include related ancillary charges.  For all other procedures, include related ancillary charges.",,
    NOTE:  The CPT codes are included on this form to help identify the listed procedures based on the frequencies,,
   across hospital-based ambulatory surgery data.  The average charge for all related services and procedures,,
"    (e.g., supplies, drugs, lab, use of operating room, etc.) should be included in the average charge for that procedure.",,
"3. Do not change procedure descriptions or CPT code references.  Use ""Other Common Outpatient Procedures"" ",,
    (rows 62-71) if you are unable to select procedures from list.,,
"4. Submit completed form as Excel (.xls) file, along with chargemaster and percent change in gross revenue",,
"    calculation, by e-mail to chargemaster@oshpd.ca.gov or by standard mail on CD.",,
,,
,,
,,
,,
,,
,,
,,
