DRG#,DRG Description,Average Price,,The information contained herein is a listing of Diagnosis Related Groups (DRGs).  
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA I,"13,149.23",,This information is required by the Centers for Medicare and Medicaid Services (CMS) requirement [FY 2019 IPPS/LTCH PPS Final Rule; CMS-1694-F] from most hospitals operating within the United States.  
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"21,062.39",,Hospitals must list and update a list of their standard charges for each DRG under section 1886(d)(4) of the Social Security Act. 
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"14,468.40",,
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"16,381.19",,The list contains calendar year 2018 inpatient discharges grouped using the current year CMS MS-DRG.  
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"15,107.20",,The current Medicare year's geographic mean length of stay (LOS) and description is used.  
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"10,675.21",,The current year is used if the same MS-DRG is present in two Medicare periods.   
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"16,478.67",,Charges are averaged by DRG by taking the total charges divided by the total case volume per DRG.  
194,SIMPLE PNEUMONIA & PLEURISY W CC,"13,295.76",,Averages are listed for acute inpatients and newborn accounts. 
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"11,067.56",,The charges to patients with all insurances were included in calculating the average charges per DRG.
203,BRONCHITIS & ASTHMA W/O CC/MCC,"8,490.87",,
291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEM,"14,075.19",,Charges to Rehabilitation and Long Term Care accounts have been excluded.
292,HEART FAILURE & SHOCK W CC,"11,598.70",,"Also excluded are charges related to error MS-DRGs 0, 998, 999.  "
293,HEART FAILURE & SHOCK W/O CC/MCC,"8,228.07",,Individual cases where LOS is greater than the Geographic Mean LOS times 1.5 are excluded.  
305,HYPERTENSION W/O MCC,"9,910.27",,Low volume DRGs where number of cases are < 10 are excluded.
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"11,112.86",,
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"10,434.94",,
312,SYNCOPE & COLLAPSE,"13,802.00",,
313,CHEST PAIN,"11,012.05",,
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","12,241.72",,
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"14,740.58",,
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWE,"31,752.34",,
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"26,428.86",,
603,CELLULITIS W/O MCC,"9,537.28",,
637,DIABETES W MCC,"13,416.10",,
638,DIABETES W CC,"10,099.54",,
639,DIABETES W/O CC/MCC,"9,123.16",,
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W","11,596.69",,
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W","11,551.19",,
683,RENAL FAILURE W CC,"9,747.31",,
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"10,993.33",,
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"9,651.11",,
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"9,176.86",,
765,CESAREAN SECTION W CC/MCC,"10,375.81",,
766,CESAREAN SECTION W/O CC/MCC,"7,829.91",,
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"8,931.21",,
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"6,981.92",,
788,CESAREAN SECTION W/O STERILIZATION W/O CC/MCC,"10,862.30",,
792,PREMATURITY W/O MAJOR PROBLEMS,"2,190.06",,
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"2,282.81",,
795,NORMAL NEWBORN,"1,431.57",,
807,VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC,"8,049.31",,
812,RED BLOOD CELL DISORDERS W/O MCC,"11,772.57",,
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"21,826.08",,
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"14,088.09",,
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"11,840.61",,
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"8,133.73",,
951,OTHER FACTORS INFLUENCING HEALTH STATUS,"2,634.06",,
