MS_DRG,Description,Category,Median Price
1,Heart transplant or implant of heart assist system w MCC,TRANSPLANT,"$1,390,015 "
2,Heart transplant or implant of heart assist system w/o MCC,TRANSPLANT,"$1,241,395 "
3,"ECMO or trach w MV >96 hrs or PDX exc face, mouth & neck w maj O.R.",MEDICAL SUBSPECIALTIES,"$1,091,130 "
4,"Trach w MV >96 hrs or PDX exc face, mouth & neck w/o maj O.R.",MEDICAL SUBSPECIALTIES,"$619,162 "
5,Liver transplant w MCC or intestinal transplant,TRANSPLANT,"$473,633 "
6,Liver transplant w/o MCC,TRANSPLANT,"$315,988 "
7,Lung transplant,TRANSPLANT,"$824,753 "
8,Simultaneous pancreas/kidney transplant,TRANSPLANT,"$455,945 "
10,Pancreas transplant,TRANSPLANT,"$563,925 "
11,"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w MCC",SURGICAL SUBSPECIALTIES,"$185,757 "
12,"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w CC",SURGICAL SUBSPECIALTIES,"$174,237 "
13,"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w/o CC/MCC",SURGICAL SUBSPECIALTIES,"$128,179 "
14,Allogeneic bone marrow transplant,ONCOLOGY,"$417,922 "
16,Autologous bone marrow transplant  w CC/MCC or T-cell immunotherapy,ONCOLOGY,"$296,710 "
17,Autologous bone marrow transplant w/o CC/MCC,ONCOLOGY,"$232,257 "
20,Intracranial vascular procedures w PDX hemorrhage w MCC,NEUROSCIENCES,"$395,204 "
21,Intracranial vascular procedures w PDX hemorrhage w CC,NEUROSCIENCES,"$403,593 "
23,Craniotomy w major device Implant or acute CNS PDX w MCC or chemotherapy implant or epilepsy w neurostimulator,NEUROSCIENCES,"$256,769 "
24,Cranio w major dev impl/acute complex CNS PDX w/o MCC,NEUROSCIENCES,"$146,933 "
25,Craniotomy & endovascular intracranial procedures w MCC,NEUROSCIENCES,"$193,495 "
26,Craniotomy & endovascular intracranial procedures w CC,NEUROSCIENCES,"$122,820 "
27,Craniotomy & endovascular intracranial procedures w/o CC/MCC,NEUROSCIENCES,"$99,791 "
28,Spinal procedures w MCC,NEUROSCIENCES,"$153,397 "
29,Spinal procedures w CC or spinal neurostimulators,NEUROSCIENCES,"$129,409 "
30,Spinal procedures w/o CC/MCC,NEUROSCIENCES,"$73,526 "
31,Ventricular shunt procedures w MCC,NEUROSCIENCES,"$122,254 "
32,Ventricular shunt procedures w CC,NEUROSCIENCES,"$61,860 "
33,Ventricular shunt procedures w/o CC/MCC,NEUROSCIENCES,"$59,747 "
35,Carotid artery stent procedure w CC,NEUROSCIENCES,"$140,906 "
36,Carotid artery stent procedure w/o CC/MCC,NEUROSCIENCES,"$79,599 "
37,Extracranial procedures w MCC,HEART & VASCULAR,"$229,508 "
38,Extracranial procedures w CC,HEART & VASCULAR,"$97,867 "
39,Extracranial procedures w/o CC/MCC,HEART & VASCULAR,"$68,570 "
40,Periph/cranial nerve & other nerv syst proc w MCC,NEUROSCIENCES,"$167,124 "
41,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim,NEUROSCIENCES,"$78,683 "
42,Periph/cranial nerve & other nerv syst proc w/o CC/MCC,NEUROSCIENCES,"$83,324 "
52,Spinal disorders & injuries w CC/MCC,NEUROSCIENCES,"$48,617 "
53,Spinal disorders & injuries w/o CC/MCC,NEUROSCIENCES,"$26,583 "
54,Nervous system neoplasms w MCC,ONCOLOGY,"$73,916 "
55,Nervous system neoplasms w/o MCC,ONCOLOGY,"$32,304 "
56,Degenerative nervous system disorders w MCC,NEUROSCIENCES,"$117,119 "
57,Degenerative nervous system disorders w/o MCC,NEUROSCIENCES,"$51,071 "
58,Multiple sclerosis & cerebellar ataxia w MCC,NEUROSCIENCES,"$63,842 "
59,Multiple sclerosis & cerebellar ataxia w CC,NEUROSCIENCES,"$60,202 "
60,Multiple sclerosis & cerebellar ataxia w/o CC/MCC,NEUROSCIENCES,"$66,011 "
61,"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w MCC",NEUROSCIENCES,"$143,820 "
62,"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w CC",NEUROSCIENCES,"$78,033 "
63,"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w/o CC/MCC",NEUROSCIENCES,"$64,287 "
64,Intracranial hemorrhage or cerebral infarction w MCC,NEUROSCIENCES,"$74,043 "
65,Intracranial hemorrhage or cerebral infarction w CC or tPA in 24 hrs,NEUROSCIENCES,"$45,497 "
66,Intracranial hemorrhage or cerebral infarction w/o CC/MCC,NEUROSCIENCES,"$44,170 "
68,Nonspecific cva & precerebral occlusion w/o infarct w/o MCC,NEUROSCIENCES,"$42,082 "
69,Transient ischemia w/o thrombolytic,NEUROSCIENCES,"$26,957 "
70,Nonspecific cerebrovascular disorders w MCC,NEUROSCIENCES,"$128,105 "
71,Nonspecific cerebrovascular disorders w CC,NEUROSCIENCES,"$50,614 "
72,Nonspecific cerebrovascular disorders w/o CC/MCC,NEUROSCIENCES,"$37,251 "
73,Cranial & peripheral nerve disorders w MCC,NEUROSCIENCES,"$55,361 "
74,Cranial & peripheral nerve disorders w/o MCC,NEUROSCIENCES,"$37,728 "
75,Viral meningitis w CC/MCC,MEDICAL SUBSPECIALTIES,"$92,067 "
76,Viral meningitis w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$27,768 "
77,Hypertensive encephalopathy w MCC,NEUROSCIENCES,"$26,511 "
78,Hypertensive encephalopathy w CC,NEUROSCIENCES,"$42,647 "
80,Nontraumatic stupor & coma w MCC,NEUROSCIENCES,"$30,205 "
81,Nontraumatic stupor & coma w/o MCC,NEUROSCIENCES,"$44,386 "
82,"Traumatic stupor & coma, coma >1 hr w MCC",NEUROSCIENCES,"$108,172 "
83,"Traumatic stupor & coma, coma >1 hr w CC",NEUROSCIENCES,"$47,864 "
84,"Traumatic stupor & coma, coma >1 hr w/o CC/MCC",NEUROSCIENCES,"$37,075 "
85,"Traumatic stupor & coma, coma <1 hr w MCC",NEUROSCIENCES,"$69,199 "
86,"Traumatic stupor & coma, coma <1 hr w CC",NEUROSCIENCES,"$48,019 "
87,"Traumatic stupor & coma, coma <1 hr w/o CC/MCC",NEUROSCIENCES,"$18,043 "
89,Concussion w CC,NEUROSCIENCES,"$73,485 "
90,Concussion w/o CC/MCC,NEUROSCIENCES,"$30,482 "
91,Other disorders of nervous system w MCC,NEUROSCIENCES,"$98,225 "
92,Other disorders of nervous system w CC,NEUROSCIENCES,"$38,017 "
93,Other disorders of nervous system w/o CC/MCC,NEUROSCIENCES,"$32,628 "
94,Bacterial & tuberculous infections of nervous system w MCC,NEUROSCIENCES,"$93,373 "
95,Bacterial & tuberculous infections of nervous system w CC,NEUROSCIENCES,"$142,937 "
96,Bacterial & tuberculous infections of nervous system w/o CC/MCC,NEUROSCIENCES,"$113,286 "
97,Non-bacterial infect of nervous sys exc viral meningitis w MCC,NEUROSCIENCES,"$192,787 "
98,Non-bacterial infect of nervous sys exc viral meningitis w CC,NEUROSCIENCES,"$114,562 "
99,Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC,NEUROSCIENCES,"$43,786 "
100,Seizures w MCC,NEUROSCIENCES,"$77,457 "
101,Seizures w/o MCC,NEUROSCIENCES,"$37,360 "
102,Headaches w MCC,NEUROSCIENCES,"$32,673 "
103,Headaches w/o MCC,NEUROSCIENCES,"$18,352 "
113,Orbital procedures w CC/MCC,SURGICAL SUBSPECIALTIES,"$136,349 "
116,Intraocular procedures w CC/MCC,SURGICAL SUBSPECIALTIES,"$75,625 "
117,Intraocular procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$33,697 "
121,Acute major eye infections w CC/MCC,SURGICAL SUBSPECIALTIES,"$55,829 "
122,Acute major eye infections w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$26,562 "
123,Neurological eye disorders,SURGICAL SUBSPECIALTIES,"$49,513 "
125,Other disorders of the eye w/o MCC,SURGICAL SUBSPECIALTIES,"$36,367 "
129,Major head & neck procedures w CC/MCC or major device,ONCOLOGY,"$85,999 "
130,Major head & neck procedures w/o CC/MCC,ONCOLOGY,"$69,060 "
131,Cranial/facial procedures w CC/MCC,SURGICAL SUBSPECIALTIES,"$140,668 "
132,Cranial/facial procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$83,672 "
133,"Other ear, nose, mouth & throat O.R. procedures w CC/MCC",SURGICAL SUBSPECIALTIES,"$130,610 "
134,"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC",SURGICAL SUBSPECIALTIES,"$53,471 "
136,Sinus & mastoid procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$76,893 "
137,Mouth procedures w CC/MCC,ONCOLOGY,"$44,010 "
138,Mouth procedures w/o CC/MCC,ONCOLOGY,"$28,273 "
139,Salivary gland procedures,SURGICAL SUBSPECIALTIES,"$44,366 "
146,"Ear, nose, mouth & throat malignancy w MCC",ONCOLOGY,"$144,885 "
147,"Ear, nose, mouth & throat malignancy w CC",ONCOLOGY,"$33,088 "
149,Dysequilibrium,NEUROSCIENCES,"$36,553 "
151,Epistaxis w/o MCC,MEDICAL SUBSPECIALTIES,"$36,666 "
152,Otitis media & URI w MCC,MEDICAL SUBSPECIALTIES,"$63,289 "
153,Otitis media & URI w/o MCC,MEDICAL SUBSPECIALTIES,"$21,470 "
155,"Other ear, nose, mouth & throat diagnoses w CC",SURGICAL SUBSPECIALTIES,"$36,247 "
156,"Other ear, nose, mouth & throat diagnoses w/o CC/MCC",SURGICAL SUBSPECIALTIES,"$24,765 "
157,Dental & oral diseases w MCC,SURGICAL SUBSPECIALTIES,"$58,502 "
158,Dental & oral diseases w CC,SURGICAL SUBSPECIALTIES,"$48,918 "
159,Dental & Oral Diseases w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$27,451 "
163,Major chest procedures w MCC,SURGICAL SUBSPECIALTIES,"$229,799 "
164,Major chest procedures w CC,SURGICAL SUBSPECIALTIES,"$100,583 "
165,Major chest procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$62,536 "
166,Other resp system O.R. procedures w MCC,SURGICAL SUBSPECIALTIES,"$172,658 "
167,Other resp system O.R. procedures w CC,SURGICAL SUBSPECIALTIES,"$91,464 "
168,Other resp system O.R. procedures w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$62,080 "
175,Pulmonary embolism w MCC,MEDICAL SUBSPECIALTIES,"$72,176 "
176,Pulmonary embolism w/o MCC,MEDICAL SUBSPECIALTIES,"$35,748 "
177,Respiratory infections & inflammations w MCC,MEDICAL SUBSPECIALTIES,"$87,391 "
178,Respiratory infections & inflammations w CC,MEDICAL SUBSPECIALTIES,"$70,367 "
179,Respiratory infections & inflammations w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$85,783 "
180,Respiratory neoplasms w MCC,ONCOLOGY,"$85,144 "
181,Respiratory neoplasms w CC,ONCOLOGY,"$33,620 "
183,Major chest trauma w MCC,SURGICAL SUBSPECIALTIES,"$62,492 "
184,Major chest trauma w CC,SURGICAL SUBSPECIALTIES,"$46,863 "
185,Major chest trauma w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$40,670 "
186,Pleural effusion w MCC,MEDICAL SUBSPECIALTIES,"$76,923 "
187,Pleural effusion w CC,MEDICAL SUBSPECIALTIES,"$44,236 "
188,Pleural effusion w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$47,200 "
189,Pulmonary edema & respiratory failure,MEDICAL SUBSPECIALTIES,"$75,972 "
190,Chronic obstructive pulmonary disease w MCC,MEDICAL SUBSPECIALTIES,"$42,365 "
191,Chronic obstructive pulmonary disease w CC,MEDICAL SUBSPECIALTIES,"$35,382 "
192,Chronic obstructive pulmonary disease w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$25,303 "
193,Simple pneumonia & pleurisy w MCC,MEDICAL SUBSPECIALTIES,"$50,641 "
194,Simple pneumonia & pleurisy w CC,MEDICAL SUBSPECIALTIES,"$34,123 "
195,Simple pneumonia & pleurisy w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$18,205 "
196,Interstitial lung disease w MCC,MEDICAL SUBSPECIALTIES,"$62,597 "
197,Interstitial lung disease w CC,MEDICAL SUBSPECIALTIES,"$59,171 "
198,Interstitial lung disease w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$22,988 "
199,Pneumothorax w MCC,SURGICAL SUBSPECIALTIES,"$114,664 "
200,Pneumothorax w CC,SURGICAL SUBSPECIALTIES,"$50,593 "
201,Pneumothorax w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$16,299 "
202,Bronchitis & asthma w CC/MCC,MEDICAL SUBSPECIALTIES,"$49,099 "
203,Bronchitis & asthma w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$19,736 "
204,Respiratory signs & symptoms,MEDICAL SUBSPECIALTIES,"$40,419 "
205,Other respiratory system diagnoses w MCC,MEDICAL SUBSPECIALTIES,"$61,919 "
206,Other respiratory system diagnoses w/o MCC,MEDICAL SUBSPECIALTIES,"$47,389 "
207,Respiratory system diagnosis w ventilator support >96 hours,MEDICAL SUBSPECIALTIES,"$250,214 "
208,Respiratory system diagnosis w ventilator support <=96 hours,MEDICAL SUBSPECIALTIES,"$105,925 "
215,Other heart assist system implant,HEART & VASCULAR,"$411,361 "
216,Cardiac valve & oth maj cardiothoracic proc w card cath w MCC,HEART & VASCULAR,"$435,632 "
217,Cardiac valve & oth maj cardiothoracic proc w card cath w CC,HEART & VASCULAR,"$277,902 "
218,Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC,HEART & VASCULAR,"$184,494 "
219,Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC,HEART & VASCULAR,"$412,569 "
220,Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC,HEART & VASCULAR,"$233,753 "
221,Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC,HEART & VASCULAR,"$189,636 "
222,Cardiac defib implant w cardiac cath w AMI/HF/shock w MCC,HEART & VASCULAR,"$318,008 "
224,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC,HEART & VASCULAR,"$329,136 "
225,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC,HEART & VASCULAR,"$231,468 "
226,Cardiac defibrillator implant w/o cardiac cath w MCC,HEART & VASCULAR,"$286,235 "
227,Cardiac defibrillator implant w/o cardiac cath w/o MCC,HEART & VASCULAR,"$211,783 "
228,Other cardiothoracic procedures w MCC,HEART & VASCULAR,"$453,111 "
229,Other cardiothoracic procedures w/o MCC,HEART & VASCULAR,"$201,545 "
231,Coronary bypass w PTCA w MCC,HEART & VASCULAR,"$275,274 "
232,Coronary bypass w PTCA w/o MCC,HEART & VASCULAR,"$350,443 "
233,Coronary bypass w cardiac cath w MCC,HEART & VASCULAR,"$303,596 "
234,Coronary bypass w cardiac cath w/o MCC,HEART & VASCULAR,"$222,620 "
235,Coronary bypass w/o cardiac cath w MCC,HEART & VASCULAR,"$265,476 "
236,Coronary bypass w/o cardiac cath w/o MCC,HEART & VASCULAR,"$184,623 "
239,Amputation for circ sys disorders exc upper limb & toe w MCC,HEART & VASCULAR,"$138,092 "
240,Amputation for circ sys disorders exc upper limb & toe w CC,HEART & VASCULAR,"$87,521 "
242,Permanent cardiac pacemaker implant w MCC,HEART & VASCULAR,"$194,610 "
243,Permanent cardiac pacemaker implant w CC,HEART & VASCULAR,"$98,180 "
244,Permanent cardiac pacemaker implant w/o CC/MCC,HEART & VASCULAR,"$83,595 "
245,AICD generator procedures,HEART & VASCULAR,"$248,723 "
246,Percutaneous cardiovascular procedures w drug-eluting stent w MCC or 4+ arteries or stents,HEART & VASCULAR,"$137,125 "
247,Perc cardiovasc proc w drug-eluting stent w/o MCC,HEART & VASCULAR,"$93,353 "
249,Perc cardiovasc proc w non-drug-eluting stent w/o MCC,HEART & VASCULAR,"$85,042 "
250,Perc cardiovasc proc w/o coronary artery stent w MCC,HEART & VASCULAR,"$95,772 "
251,Perc cardiovasc proc w/o coronary artery stent w/o MCC,HEART & VASCULAR,"$66,022 "
252,Other vascular procedures w MCC,HEART & VASCULAR,"$165,961 "
253,Other vascular procedures w CC,HEART & VASCULAR,"$131,805 "
254,Other vascular procedures w/o CC/MCC,HEART & VASCULAR,"$96,773 "
255,Upper limb & toe amputation for circ system disorders w MCC,HEART & VASCULAR,"$97,034 "
256,Upper limb & toe amputation for circ system disorders w CC,HEART & VASCULAR,"$108,343 "
260,Cardiac pacemaker revision except device replacement w MCC,HEART & VASCULAR,"$125,678 "
264,Other circulatory system O.R. procedures,HEART & VASCULAR,"$129,113 "
265,AICD lead procedures,HEART & VASCULAR,"$100,951 "
